file,generated_caption,go_id,go_name,go_definition,similarity_score
protein_005_description.txt,"a protein similarity matrix is a graph that shows the structural similarity between two proteins in a given domain block or interaction cluster, as well as the structural similarity between two proteins in a given domain block or interaction cluster,",GO:0180014,protein-tRNA adaptor activity,"The binding activity of a protein that brings together another protein and a tRNA, permitting those molecules to function in a coordinated way.",0.5420289039611816
protein_005_description.txt,"a protein similarity matrix is a graph that shows the structural similarity between two proteins in a given domain block or interaction cluster, as well as the structural similarity between two proteins in a given domain block or interaction cluster,",GO:0046983,protein dimerization activity,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",0.5283989906311035
protein_005_description.txt,"a protein similarity matrix is a graph that shows the structural similarity between two proteins in a given domain block or interaction cluster, as well as the structural similarity between two proteins in a given domain block or interaction cluster,",GO:0042802,identical protein binding,Binding to an identical protein or proteins.,0.5224515795707703
protein_005_description.txt,"a protein similarity matrix is a graph that shows the structural similarity between two proteins in a given domain block or interaction cluster, as well as the structural similarity between two proteins in a given domain block or interaction cluster,",GO:0042803,protein homodimerization activity,Binding to an identical protein to form a homodimer.,0.5168547630310059
protein_005_description.txt,"a protein similarity matrix is a graph that shows the structural similarity between two proteins in a given domain block or interaction cluster, as well as the structural similarity between two proteins in a given domain block or interaction cluster,",GO:0140517,protein-RNA adaptor activity,"The binding activity of a protein that brings together another protein and an RNA, permitting those molecules to function in a coordinated way.",0.5164265036582947
protein_006_description.txt,"a protein similarity matrix is a graph of structural similarity between two proteins that are structurally similar to each other, but differ in their domain blocks and interaction clusters the diagonal regions are the most similar to each other, while the domain blocks are the least similar",GO:0046983,protein dimerization activity,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",0.5422366857528687
protein_006_description.txt,"a protein similarity matrix is a graph of structural similarity between two proteins that are structurally similar to each other, but differ in their domain blocks and interaction clusters the diagonal regions are the most similar to each other, while the domain blocks are the least similar",GO:0180014,protein-tRNA adaptor activity,"The binding activity of a protein that brings together another protein and a tRNA, permitting those molecules to function in a coordinated way.",0.5359222888946533
protein_006_description.txt,"a protein similarity matrix is a graph of structural similarity between two proteins that are structurally similar to each other, but differ in their domain blocks and interaction clusters the diagonal regions are the most similar to each other, while the domain blocks are the least similar",GO:0042802,identical protein binding,Binding to an identical protein or proteins.,0.5291463732719421
protein_006_description.txt,"a protein similarity matrix is a graph of structural similarity between two proteins that are structurally similar to each other, but differ in their domain blocks and interaction clusters the diagonal regions are the most similar to each other, while the domain blocks are the least similar",GO:0042803,protein homodimerization activity,Binding to an identical protein to form a homodimer.,0.5245050191879272
protein_006_description.txt,"a protein similarity matrix is a graph of structural similarity between two proteins that are structurally similar to each other, but differ in their domain blocks and interaction clusters the diagonal regions are the most similar to each other, while the domain blocks are the least similar",GO:0098637,protein complex involved in cell-matrix adhesion,Any protein complex that is capable of carrying out some part of the process of cell-matrix adhesion.,0.5162392854690552
protein_007_description.txt,"Identify the structural similarity of the proteins in the matrix and compare it to other proteins in the same domain block or interaction clusters, as well as with other proteins in the same domain block or interaction clusters, to identify structural similarities between proteins",GO:0042802,identical protein binding,Binding to an identical protein or proteins.,0.5775253772735596
protein_007_description.txt,"Identify the structural similarity of the proteins in the matrix and compare it to other proteins in the same domain block or interaction clusters, as well as with other proteins in the same domain block or interaction clusters, to identify structural similarities between proteins",GO:0180014,protein-tRNA adaptor activity,"The binding activity of a protein that brings together another protein and a tRNA, permitting those molecules to function in a coordinated way.",0.5538437366485596
protein_007_description.txt,"Identify the structural similarity of the proteins in the matrix and compare it to other proteins in the same domain block or interaction clusters, as well as with other proteins in the same domain block or interaction clusters, to identify structural similarities between proteins",GO:0140475,spindle pole body anchor activity,"The binding activity of a protein that brings together the spindle pole body and one or more other molecules, permitting them to function in a coordinated way.",0.5461931824684143
protein_007_description.txt,"Identify the structural similarity of the proteins in the matrix and compare it to other proteins in the same domain block or interaction clusters, as well as with other proteins in the same domain block or interaction clusters, to identify structural similarities between proteins",GO:0036290,protein trans-autophosphorylation,"The phosphorylation by a protein of a residue on an identical protein. For example, phosphorylation by the other kinase within a homodimer.",0.5461639165878296
protein_007_description.txt,"Identify the structural similarity of the proteins in the matrix and compare it to other proteins in the same domain block or interaction clusters, as well as with other proteins in the same domain block or interaction clusters, to identify structural similarities between proteins",GO:0050700,CARD domain binding,"Binding to a CARD (N-terminal caspase recruitment) domain, a protein-protein interaction domain that belongs to the death domain-fold superfamily. These protein molecule families are similar in structure with each consisting of six or seven anti-parallel alpha-helices that form highly specific homophilic interactions between signaling partners. CARD exists in the N-terminal prodomains of several caspases and in apoptosis-regulatory proteins and mediates the assembly of CARD-containing proteins that participate in activation or suppression of CARD carrying members of the caspase family.",0.5447402596473694
protein_008_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in terms of their structural similarity, as well as their interaction clusters and domain blocks, and how they interact with each other to form a",GO:0180014,protein-tRNA adaptor activity,"The binding activity of a protein that brings together another protein and a tRNA, permitting those molecules to function in a coordinated way.",0.5462521314620972
protein_008_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in terms of their structural similarity, as well as their interaction clusters and domain blocks, and how they interact with each other to form a",GO:0046983,protein dimerization activity,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",0.5351853370666504
protein_008_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in terms of their structural similarity, as well as their interaction clusters and domain blocks, and how they interact with each other to form a",GO:0098637,protein complex involved in cell-matrix adhesion,Any protein complex that is capable of carrying out some part of the process of cell-matrix adhesion.,0.5244558453559875
protein_008_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in terms of their structural similarity, as well as their interaction clusters and domain blocks, and how they interact with each other to form a",GO:0071536,obsolete RING-like zinc finger domain-mediated complex assembly,OBSOLETE. A process of protein complex assembly in which the arrangement and bonding together of the set of components that form the protein complex is mediated by a RING-like zinc finger domain interaction.,0.5198634266853333
protein_008_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in terms of their structural similarity, as well as their interaction clusters and domain blocks, and how they interact with each other to form a",GO:0140517,protein-RNA adaptor activity,"The binding activity of a protein that brings together another protein and an RNA, permitting those molecules to function in a coordinated way.",0.5198079943656921
protein_009_description.txt,"a protein similarity matrix is a graph that shows the structural similarity between two proteins in a given domain block or interaction cluster, as well as the structural similarity between two proteins in a given domain block or interaction cluster,",GO:0180014,protein-tRNA adaptor activity,"The binding activity of a protein that brings together another protein and a tRNA, permitting those molecules to function in a coordinated way.",0.5420289039611816
protein_009_description.txt,"a protein similarity matrix is a graph that shows the structural similarity between two proteins in a given domain block or interaction cluster, as well as the structural similarity between two proteins in a given domain block or interaction cluster,",GO:0046983,protein dimerization activity,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",0.5283989906311035
protein_009_description.txt,"a protein similarity matrix is a graph that shows the structural similarity between two proteins in a given domain block or interaction cluster, as well as the structural similarity between two proteins in a given domain block or interaction cluster,",GO:0042802,identical protein binding,Binding to an identical protein or proteins.,0.5224515795707703
protein_009_description.txt,"a protein similarity matrix is a graph that shows the structural similarity between two proteins in a given domain block or interaction cluster, as well as the structural similarity between two proteins in a given domain block or interaction cluster,",GO:0042803,protein homodimerization activity,Binding to an identical protein to form a homodimer.,0.5168547630310059
protein_009_description.txt,"a protein similarity matrix is a graph that shows the structural similarity between two proteins in a given domain block or interaction cluster, as well as the structural similarity between two proteins in a given domain block or interaction cluster,",GO:0140517,protein-RNA adaptor activity,"The binding activity of a protein that brings together another protein and an RNA, permitting those molecules to function in a coordinated way.",0.5164265036582947
protein_010_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins with different domain blocks and interaction clusters in the same region of the protein, as well as the structural similarity of two proteins with different domain blocks",GO:0180014,protein-tRNA adaptor activity,"The binding activity of a protein that brings together another protein and a tRNA, permitting those molecules to function in a coordinated way.",0.5544135570526123
protein_010_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins with different domain blocks and interaction clusters in the same region of the protein, as well as the structural similarity of two proteins with different domain blocks",GO:0042802,identical protein binding,Binding to an identical protein or proteins.,0.5420896410942078
protein_010_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins with different domain blocks and interaction clusters in the same region of the protein, as well as the structural similarity of two proteins with different domain blocks",GO:0046983,protein dimerization activity,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",0.5390489101409912
protein_010_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins with different domain blocks and interaction clusters in the same region of the protein, as well as the structural similarity of two proteins with different domain blocks",GO:0042803,protein homodimerization activity,Binding to an identical protein to form a homodimer.,0.5259996652603149
protein_010_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins with different domain blocks and interaction clusters in the same region of the protein, as well as the structural similarity of two proteins with different domain blocks",GO:0140517,protein-RNA adaptor activity,"The binding activity of a protein that brings together another protein and an RNA, permitting those molecules to function in a coordinated way.",0.5254158973693848
protein_011_description.txt,"a protein matrix with repeating motifs, symmetry, and irregular regions can be used to identify structural similarity between two proteins in the same family or across different families of proteins in the same family or across different families of proteins in different families",GO:0030911,TPR domain binding,"Binding to a tetratricopeptide repeat (TPR) domain of a protein, the consensus sequence of which is defined by a pattern of small and large hydrophobic amino acids and a structure composed of helices.",0.581010103225708
protein_011_description.txt,"a protein matrix with repeating motifs, symmetry, and irregular regions can be used to identify structural similarity between two proteins in the same family or across different families of proteins in the same family or across different families of proteins in different families",GO:0043522,leucine zipper domain binding,"Binding to a leucine zipper domain, a protein secondary structure exhibiting a periodic repetition of leucine residues at every seventh position over a distance covering eight helical turns.",0.557847261428833
protein_011_description.txt,"a protein matrix with repeating motifs, symmetry, and irregular regions can be used to identify structural similarity between two proteins in the same family or across different families of proteins in the same family or across different families of proteins in different families",GO:0005602,complement component C1 complex,"A protein complex composed of six subunits of C1q, each formed of the three homologous polypeptide chains C1QA, C1QB, and C1QB, and tetramer of two C1QR and two C1QS polypeptide chains.",0.5492778420448303
protein_011_description.txt,"a protein matrix with repeating motifs, symmetry, and irregular regions can be used to identify structural similarity between two proteins in the same family or across different families of proteins in the same family or across different families of proteins in different families",GO:0051290,protein heterotetramerization,"The formation of a protein heterotetramer, a macromolecular structure consisting of four noncovalently associated subunits, of which not all are identical.",0.5447722673416138
protein_011_description.txt,"a protein matrix with repeating motifs, symmetry, and irregular regions can be used to identify structural similarity between two proteins in the same family or across different families of proteins in the same family or across different families of proteins in different families",GO:0018419,protein catenane formation,"The aggregation, arrangement and bonding together of a protein structure comprising two or more rings that are interlocked but not covalently joined; resembling the links of a chain.",0.5417078137397766
protein_012_description.txt,"a protein similarity matrix is a graph of structural similarity between two proteins that are structurally similar to each other, but differ in their domain blocks and interaction clusters if they are structurally similar to each other or if they interact",GO:0180014,protein-tRNA adaptor activity,"The binding activity of a protein that brings together another protein and a tRNA, permitting those molecules to function in a coordinated way.",0.5485100746154785
protein_012_description.txt,"a protein similarity matrix is a graph of structural similarity between two proteins that are structurally similar to each other, but differ in their domain blocks and interaction clusters if they are structurally similar to each other or if they interact",GO:0046983,protein dimerization activity,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",0.5467488765716553
protein_012_description.txt,"a protein similarity matrix is a graph of structural similarity between two proteins that are structurally similar to each other, but differ in their domain blocks and interaction clusters if they are structurally similar to each other or if they interact",GO:0042802,identical protein binding,Binding to an identical protein or proteins.,0.5303692817687988
protein_012_description.txt,"a protein similarity matrix is a graph of structural similarity between two proteins that are structurally similar to each other, but differ in their domain blocks and interaction clusters if they are structurally similar to each other or if they interact",GO:0042803,protein homodimerization activity,Binding to an identical protein to form a homodimer.,0.5273394584655762
protein_012_description.txt,"a protein similarity matrix is a graph of structural similarity between two proteins that are structurally similar to each other, but differ in their domain blocks and interaction clusters if they are structurally similar to each other or if they interact",GO:0140517,protein-RNA adaptor activity,"The binding activity of a protein that brings together another protein and an RNA, permitting those molecules to function in a coordinated way.",0.525149941444397
protein_013_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in a given domain block or interaction cluster, as well as the structural similarity of two proteins in a given domain block or interaction cluster,",GO:0180014,protein-tRNA adaptor activity,"The binding activity of a protein that brings together another protein and a tRNA, permitting those molecules to function in a coordinated way.",0.5399172306060791
protein_013_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in a given domain block or interaction cluster, as well as the structural similarity of two proteins in a given domain block or interaction cluster,",GO:0046983,protein dimerization activity,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",0.5295671224594116
protein_013_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in a given domain block or interaction cluster, as well as the structural similarity of two proteins in a given domain block or interaction cluster,",GO:0042802,identical protein binding,Binding to an identical protein or proteins.,0.5244587659835815
protein_013_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in a given domain block or interaction cluster, as well as the structural similarity of two proteins in a given domain block or interaction cluster,",GO:0042803,protein homodimerization activity,Binding to an identical protein to form a homodimer.,0.5176123380661011
protein_013_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in a given domain block or interaction cluster, as well as the structural similarity of two proteins in a given domain block or interaction cluster,",GO:0140517,protein-RNA adaptor activity,"The binding activity of a protein that brings together another protein and an RNA, permitting those molecules to function in a coordinated way.",0.5138454437255859
protein_014_description.txt,"Identify repeating motifs, symmetry, and irregular regions in this protein matrix and explain their structural meaning with the help of a visual representation of the structure of the protein matrix and a description of the protein's structural similarity",GO:0043522,leucine zipper domain binding,"Binding to a leucine zipper domain, a protein secondary structure exhibiting a periodic repetition of leucine residues at every seventh position over a distance covering eight helical turns.",0.6046422123908997
protein_014_description.txt,"Identify repeating motifs, symmetry, and irregular regions in this protein matrix and explain their structural meaning with the help of a visual representation of the structure of the protein matrix and a description of the protein's structural similarity",GO:0097161,DH domain binding,"Binding to a DH (Dbl homology) domain of a protein. The DH domain contains three structurally conserved regions separated by more variable regions. It is composed of 11 alpha helices that are folded into a flattened, elongated alpha-helix bundle in which two of the three conserved regions, conserved region 1 (CR1) and conserved region 3 (CR3), are exposed near the centre of one surface. CR1 and CR3, together with a part of alpha-6 and the DH/PH (pleckstrin homology) junction site, constitute the Rho GTPase interacting pocket.",0.5811634659767151
protein_014_description.txt,"Identify repeating motifs, symmetry, and irregular regions in this protein matrix and explain their structural meaning with the help of a visual representation of the structure of the protein matrix and a description of the protein's structural similarity",GO:0030911,TPR domain binding,"Binding to a tetratricopeptide repeat (TPR) domain of a protein, the consensus sequence of which is defined by a pattern of small and large hydrophobic amino acids and a structure composed of helices.",0.5802210569381714
protein_014_description.txt,"Identify repeating motifs, symmetry, and irregular regions in this protein matrix and explain their structural meaning with the help of a visual representation of the structure of the protein matrix and a description of the protein's structural similarity",GO:0051290,protein heterotetramerization,"The formation of a protein heterotetramer, a macromolecular structure consisting of four noncovalently associated subunits, of which not all are identical.",0.566960334777832
protein_014_description.txt,"Identify repeating motifs, symmetry, and irregular regions in this protein matrix and explain their structural meaning with the help of a visual representation of the structure of the protein matrix and a description of the protein's structural similarity",GO:0046983,protein dimerization activity,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",0.563828706741333
protein_015_description.txt,"a protein similarity matrix is a graph that shows the structural similarity between two proteins in a given domain block or interaction cluster, and the structural similarity between two proteins in a given domain block or interaction cluster, and the",GO:0180014,protein-tRNA adaptor activity,"The binding activity of a protein that brings together another protein and a tRNA, permitting those molecules to function in a coordinated way.",0.5329998135566711
protein_015_description.txt,"a protein similarity matrix is a graph that shows the structural similarity between two proteins in a given domain block or interaction cluster, and the structural similarity between two proteins in a given domain block or interaction cluster, and the",GO:0046983,protein dimerization activity,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",0.5225753784179688
protein_015_description.txt,"a protein similarity matrix is a graph that shows the structural similarity between two proteins in a given domain block or interaction cluster, and the structural similarity between two proteins in a given domain block or interaction cluster, and the",GO:0042802,identical protein binding,Binding to an identical protein or proteins.,0.511978030204773
protein_015_description.txt,"a protein similarity matrix is a graph that shows the structural similarity between two proteins in a given domain block or interaction cluster, and the structural similarity between two proteins in a given domain block or interaction cluster, and the",GO:0042803,protein homodimerization activity,Binding to an identical protein to form a homodimer.,0.5078941583633423
protein_015_description.txt,"a protein similarity matrix is a graph that shows the structural similarity between two proteins in a given domain block or interaction cluster, and the structural similarity between two proteins in a given domain block or interaction cluster, and the",GO:0140517,protein-RNA adaptor activity,"The binding activity of a protein that brings together another protein and an RNA, permitting those molecules to function in a coordinated way.",0.5076196193695068
protein_016_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in a given domain block or interaction cluster, and the structural similarity of two proteins in a given domain block or interaction cluster, and the",GO:0180014,protein-tRNA adaptor activity,"The binding activity of a protein that brings together another protein and a tRNA, permitting those molecules to function in a coordinated way.",0.5271520614624023
protein_016_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in a given domain block or interaction cluster, and the structural similarity of two proteins in a given domain block or interaction cluster, and the",GO:0046983,protein dimerization activity,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",0.5219707489013672
protein_016_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in a given domain block or interaction cluster, and the structural similarity of two proteins in a given domain block or interaction cluster, and the",GO:0042802,identical protein binding,Binding to an identical protein or proteins.,0.5112715363502502
protein_016_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in a given domain block or interaction cluster, and the structural similarity of two proteins in a given domain block or interaction cluster, and the",GO:0042803,protein homodimerization activity,Binding to an identical protein to form a homodimer.,0.5061943531036377
protein_016_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in a given domain block or interaction cluster, and the structural similarity of two proteins in a given domain block or interaction cluster, and the",GO:0098637,protein complex involved in cell-matrix adhesion,Any protein complex that is capable of carrying out some part of the process of cell-matrix adhesion.,0.5028347373008728
protein_017_description.txt,"Identify the structural similarities between two proteins, and identify the structural similarities between two proteins that are similar to each other in terms of domain blocks and interaction clusters as well as the structural similarities between two proteins that are similar to each other in terms",GO:0042802,identical protein binding,Binding to an identical protein or proteins.,0.603762686252594
protein_017_description.txt,"Identify the structural similarities between two proteins, and identify the structural similarities between two proteins that are similar to each other in terms of domain blocks and interaction clusters as well as the structural similarities between two proteins that are similar to each other in terms",GO:0180014,protein-tRNA adaptor activity,"The binding activity of a protein that brings together another protein and a tRNA, permitting those molecules to function in a coordinated way.",0.559087336063385
protein_017_description.txt,"Identify the structural similarities between two proteins, and identify the structural similarities between two proteins that are similar to each other in terms of domain blocks and interaction clusters as well as the structural similarities between two proteins that are similar to each other in terms",GO:0046983,protein dimerization activity,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",0.55727618932724
protein_017_description.txt,"Identify the structural similarities between two proteins, and identify the structural similarities between two proteins that are similar to each other in terms of domain blocks and interaction clusters as well as the structural similarities between two proteins that are similar to each other in terms",GO:0140517,protein-RNA adaptor activity,"The binding activity of a protein that brings together another protein and an RNA, permitting those molecules to function in a coordinated way.",0.557061493396759
protein_017_description.txt,"Identify the structural similarities between two proteins, and identify the structural similarities between two proteins that are similar to each other in terms of domain blocks and interaction clusters as well as the structural similarities between two proteins that are similar to each other in terms",GO:0005515,protein binding,Binding to a protein.,0.5546277165412903
protein_018_description.txt,"Identify the structural similarities between proteins in the same domain block or interaction clusters, and identify the structural similarities between proteins in different domain blocks or interaction clusters, and identify the structural similarities between proteins in different domain blocks or interaction clusters.",GO:0042802,identical protein binding,Binding to an identical protein or proteins.,0.5819453001022339
protein_018_description.txt,"Identify the structural similarities between proteins in the same domain block or interaction clusters, and identify the structural similarities between proteins in different domain blocks or interaction clusters, and identify the structural similarities between proteins in different domain blocks or interaction clusters.",GO:0071535,RING-like zinc finger domain binding,Binding to a RING-like zinc finger domain domain of a protein. The RING-like domain is a zinc finger domain that is related to the C3HC4 RING finger domain.,0.529340922832489
protein_018_description.txt,"Identify the structural similarities between proteins in the same domain block or interaction clusters, and identify the structural similarities between proteins in different domain blocks or interaction clusters, and identify the structural similarities between proteins in different domain blocks or interaction clusters.",GO:0005515,protein binding,Binding to a protein.,0.5244758129119873
protein_018_description.txt,"Identify the structural similarities between proteins in the same domain block or interaction clusters, and identify the structural similarities between proteins in different domain blocks or interaction clusters, and identify the structural similarities between proteins in different domain blocks or interaction clusters.",GO:0035877,death effector domain binding,"Binding to a DED domain (death effector domain) of a protein, a homotypic protein interaction module composed of a bundle of six alpha-helices that is related in structure to the death domain (DD).",0.5203997492790222
protein_018_description.txt,"Identify the structural similarities between proteins in the same domain block or interaction clusters, and identify the structural similarities between proteins in different domain blocks or interaction clusters, and identify the structural similarities between proteins in different domain blocks or interaction clusters.",GO:0050700,CARD domain binding,"Binding to a CARD (N-terminal caspase recruitment) domain, a protein-protein interaction domain that belongs to the death domain-fold superfamily. These protein molecule families are similar in structure with each consisting of six or seven anti-parallel alpha-helices that form highly specific homophilic interactions between signaling partners. CARD exists in the N-terminal prodomains of several caspases and in apoptosis-regulatory proteins and mediates the assembly of CARD-containing proteins that participate in activation or suppression of CARD carrying members of the caspase family.",0.5203142166137695
